Order_ID,Order_Date,Delivery_Date,Product_Category,Product_Name,Quantity,Unit_Cost,Unit_Price,Discount_Pct,Revenue,Total_Cost,Profit,Profit_Margin_Pct,Lead_Time_Days,Delivery_Status,Supplier_Name,Supplier_Region,Warehouse_Location,Customer_Segment,Sales_Channel,Inventory_Level,Reorder_Point,Safety_Stock
ORD-00042,2024-06-29,2024-08-07,Smartphones,Xiaomi 14 Pro,10,380.0,649.0,0,6490.0,3800.0,2690.0,41.45,39,On Time,ZTE Corp,Asia,"Dallas, TX",Enterprise,Retail Partner,174,20,23
ORD-00043,2025-01-21,,Batteries & Power,Solar Panel 500W,1,400.0,720.0,0,720.0,400.0,320.0,44.44,35,Cancelled,Juniper Networks,North America,"Los Angeles, CA",Individual,Online Portal,138,39,27
ORD-00044,2023-10-13,2023-11-25,Batteries & Power,Solar Panel 500W,5,400.0,720.0,0,3600.0,2000.0,1600.0,44.44,43,Delayed,CommScope Inc,North America,"Miami, FL",SME,Direct Sales,172,20,25
ORD-00045,2023-07-15,2023-07-31,Batteries & Power,Small Cell UPS,1,450.0,820.0,15,697.0,450.0,247.0,35.44,16,On Time,Siemens Networks,Europe,"Newark, NJ",Enterprise,Value-Added Reseller,284,44,17
ORD-00046,2024-12-09,2025-01-12,Antennas,DAS Indoor Antenna,10,35.0,85.0,0,850.0,350.0,500.0,58.82,34,On Time,Samsung Networks,Asia,"Newark, NJ",SME,Distributor,271,31,23
ORD-00047,2025-01-08,,Antennas,Parabolic Dish 0.6m,2,150.0,320.0,0,640.0,300.0,340.0,53.12,20,Cancelled,Siemens Networks,Europe,"Newark, NJ",SME,Direct Sales,353,25,16
ORD-00048,2023-10-31,2023-11-20,Network Equipment,Fiber Optic Terminal,2,600.0,1100.0,0,2200.0,1200.0,1000.0,45.45,20,On Time,Corning Optical,North America,"Newark, NJ",Enterprise,Online Portal,7,42,27
ORD-00049,2024-08-10,2024-08-31,Network Equipment,Microwave Link,1,3200.0,5800.0,15,4930.0,3200.0,1730.0,35.09,21,On Time,Qualcomm Supply,North America,"Seattle, WA",Enterprise,Direct Sales,94,50,11
ORD-00050,2025-04-10,2025-05-25,SIM Cards,Roaming SIM Pro,1,1.2,5.0,20,4.0,1.2,2.8,70.0,45,On Time,Honor Devices,Asia,"Atlanta, GA",SME,Online Portal,127,23,27
ORD-00051,2023-11-01,2023-12-19,Batteries & Power,Solar Panel 500W,10,400.0,720.0,0,7200.0,4000.0,3200.0,44.44,48,On Time,Honor Devices,Asia,"Denver, CO",Individual,Distributor,317,21,29
ORD-00052,2024-07-19,2024-08-02,Antennas,Omni 5G Antenna,200,80.0,190.0,10,34200.0,16000.0,18200.0,53.22,14,On Time,Ericsson AB,Europe,"Los Angeles, CA",SME,Online Portal,481,169,18
ORD-00053,2024-11-08,2024-11-28,Network Equipment,Microwave Link,10,3200.0,5800.0,0,58000.0,32000.0,26000.0,44.83,20,On Time,Ericsson AB,Europe,"Chicago, IL",Government,Value-Added Reseller,331,24,18
ORD-00054,2024-04-24,,Batteries & Power,Tower Power Cabinet,1,1800.0,3200.0,15,2720.0,1800.0,920.0,33.82,17,Cancelled,Corning Optical,North America,"Newark, NJ",Individual,Direct Sales,256,37,25
ORD-00055,2023-08-23,,Fiber Cables,Single-Mode OS2 1km,5,55.0,120.0,0,600.0,275.0,325.0,54.17,56,Cancelled,CommScope Inc,North America,"Newark, NJ",Enterprise,Direct Sales,344,46,18
ORD-00056,2024-03-22,2024-05-08,Routers & Gateways,Home Gateway HG-1,25,25.0,65.0,25,1218.75,625.0,593.75,48.72,47,Delayed,Juniper Networks,North America,"Newark, NJ",SME,Value-Added Reseller,240,31,23
ORD-00057,2025-04-13,2025-05-26,SIM Cards,Prepaid SIM Kit,10,0.3,1.5,0,15.0,3.0,12.0,80.0,43,On Time,Alcatel-Lucent,Europe,"Seattle, WA",Government,Distributor,129,30,13
ORD-00058,2023-07-12,2023-09-05,Batteries & Power,Solar Panel 500W,50,400.0,720.0,0,36000.0,20000.0,16000.0,44.44,55,Delayed,Honor Devices,Asia,"Seattle, WA",Individual,Direct Sales,389,26,23
ORD-00059,2024-07-18,2024-07-29,SIM Cards,Enterprise Multi-IMSI,1,2.0,8.0,20,6.4,2.0,4.4,68.75,11,On Time,Samsung Networks,Asia,"Chicago, IL",SME,Retail Partner,430,49,13
ORD-00060,2023-09-07,2023-10-21,Fiber Cables,Single-Mode OS2 1km,10,55.0,120.0,15,1020.0,550.0,470.0,46.08,44,On Time,CommScope Inc,North America,"Denver, CO",Individual,Distributor,97,49,29
ORD-00061,2025-01-13,,Routers & Gateways,WiFi 7 Mesh Router,50,60.0,150.0,20,6000.0,3000.0,3000.0,50.0,32,Cancelled,Cobham Wireless,Europe,"Newark, NJ",Enterprise,Retail Partner,250,39,38
ORD-00062,2024-12-15,2025-01-07,Routers & Gateways,SD-WAN Appliance,2,400.0,850.0,0,1700.0,800.0,900.0,52.94,23,On Time,Juniper Networks,North America,"Seattle, WA",Government,Online Portal,438,44,23
ORD-00063,2023-05-10,2023-07-04,Smartphones,Pixel 9 Pro,25,500.0,899.0,0,22475.0,12500.0,9975.0,44.38,55,Damaged,Alcatel-Lucent,Europe,"Los Angeles, CA",Individual,Direct Sales,51,36,24
ORD-00064,2024-09-30,2024-11-08,Smartphones,iPhone 16,2,550.0,999.0,0,1998.0,1100.0,898.0,44.94,39,On Time,Samsung Networks,Asia,"Seattle, WA",Government,Retail Partner,345,47,27
ORD-00065,2024-10-08,2024-12-10,Fiber Cables,Armored Drop Cable,10,25.0,60.0,0,600.0,250.0,350.0,58.33,63,On Time,Cobham Wireless,Europe,"Atlanta, GA",Enterprise,Online Portal,500,23,30
ORD-00066,2024-01-03,2024-02-16,Antennas,Omni 5G Antenna,2,80.0,190.0,0,380.0,160.0,220.0,57.89,44,On Time,Samsung Networks,Asia,"Miami, FL",Enterprise,Retail Partner,289,41,15
ORD-00067,2024-04-17,2024-05-29,Network Equipment,Base Station BTS,1,8500.0,15000.0,0,15000.0,8500.0,6500.0,43.33,42,On Time,Qualcomm Supply,North America,"Seattle, WA",SME,Online Portal,130,41,10
ORD-00068,2023-11-03,2023-12-31,Batteries & Power,Solar Panel 500W,100,400.0,720.0,0,72000.0,40000.0,32000.0,44.44,58,On Time,Samsung Networks,Asia,"Seattle, WA",Government,Value-Added Reseller,432,97,35
ORD-00069,2025-04-29,2025-07-30,Fiber Cables,Indoor Patch Cord 3m,1,3.0,8.0,0,8.0,3.0,5.0,62.5,92,Damaged,Cobham Wireless,Europe,"Newark, NJ",Government,Direct Sales,381,21,29
ORD-00070,2024-09-27,2024-11-04,Antennas,DAS Indoor Antenna,50,35.0,85.0,0,4250.0,1750.0,2500.0,58.82,38,On Time,Honor Devices,Asia,"Miami, FL",SME,Online Portal,462,100,12
ORD-00071,2023-06-29,2023-07-26,SIM Cards,Roaming SIM Pro,1,1.2,5.0,0,5.0,1.2,3.8,76.0,27,On Time,Samsung Networks,Asia,"Newark, NJ",Government,Distributor,497,31,26
ORD-00072,2023-05-25,2023-06-09,Routers & Gateways,Industrial IoT Gateway,50,180.0,390.0,20,15600.0,9000.0,6600.0,42.31,15,On Time,Siemens Networks,Europe,"Dallas, TX",Individual,Direct Sales,404,70,10
ORD-00073,2024-11-22,2024-12-06,SIM Cards,Enterprise Multi-IMSI,1,2.0,8.0,0,8.0,2.0,6.0,75.0,14,On Time,CommScope Inc,North America,"Denver, CO",Government,Direct Sales,482,37,20
ORD-00074,2023-02-16,2023-02-28,Routers & Gateways,WiFi 7 Mesh Router,10,60.0,150.0,0,1500.0,600.0,900.0,60.0,12,On Time,Siemens Networks,Europe,"Denver, CO",Enterprise,Online Portal,120,48,27
ORD-00075,2024-11-01,2024-11-25,Network Equipment,Fiber Optic Terminal,5,600.0,1100.0,0,5500.0,3000.0,2500.0,45.45,24,Delayed,Corning Optical,North America,"Denver, CO",SME,Distributor,480,50,18
ORD-00076,2024-10-22,2024-11-23,Smartphones,Pixel 9 Pro,1,500.0,899.0,0,899.0,500.0,399.0,44.38,32,On Time,ZTE Corp,Asia,"Dallas, TX",Government,Value-Added Reseller,495,23,24
ORD-00077,2025-03-16,2025-04-29,Smartphones,iPhone 16,10,550.0,999.0,0,9990.0,5500.0,4490.0,44.94,44,On Time,Samsung Networks,Asia,"Miami, FL",SME,Online Portal,391,37,16
ORD-00078,2024-07-07,2024-07-31,Routers & Gateways,WiFi 7 Mesh Router,25,60.0,150.0,10,3375.0,1500.0,1875.0,55.56,24,Delayed,Cisco Systems,North America,"Newark, NJ",SME,Online Portal,338,47,10
ORD-00079,2023-02-23,2023-03-24,Network Equipment,5G Small Cell,2,1200.0,2200.0,0,4400.0,2400.0,2000.0,45.45,29,Delayed,CommScope Inc,North America,"Atlanta, GA",SME,Retail Partner,58,43,12
ORD-00080,2023-11-05,,Fiber Cables,Indoor Patch Cord 3m,25,3.0,8.0,0,200.0,75.0,125.0,62.5,51,Cancelled,Foxconn Telecom,Asia,"Chicago, IL",Enterprise,Value-Added Reseller,433,32,23
ORD-00081,2023-05-10,,Antennas,Omni 5G Antenna,5,80.0,190.0,0,950.0,400.0,550.0,57.89,37,Cancelled,Samsung Networks,Asia,"Miami, FL",SME,Direct Sales,271,29,24
ORD-00082,2023-08-22,2023-10-12,Routers & Gateways,Enterprise Core Router,2,2800.0,5200.0,0,10400.0,5600.0,4800.0,46.15,51,Delayed,Honor Devices,Asia,"Chicago, IL",Individual,Distributor,212,43,13
ORD-00083,2023-04-06,2023-05-18,SIM Cards,Roaming SIM Pro,2,1.2,5.0,10,9.0,2.4,6.6,73.33,42,Delayed,Juniper Networks,North America,"Dallas, TX",Enterprise,Direct Sales,284,21,28
ORD-00084,2023-11-16,2023-12-12,Routers & Gateways,Enterprise Core Router,2,2800.0,5200.0,15,8840.0,5600.0,3240.0,36.65,26,On Time,Juniper Networks,North America,"Atlanta, GA",Government,Value-Added Reseller,108,24,25
ORD-00085,2025-02-24,2025-04-09,Network Equipment,5G Small Cell,2,1200.0,2200.0,0,4400.0,2400.0,2000.0,45.45,44,On Time,ZTE Corp,Asia,"Chicago, IL",Individual,Value-Added Reseller,336,46,18
ORD-00086,2024-08-02,2024-09-19,Smartphones,iPhone 16,2,550.0,999.0,0,1998.0,1100.0,898.0,44.94,48,On Time,Siemens Networks,Europe,"Atlanta, GA",SME,Online Portal,379,40,10
ORD-00087,2025-03-06,2025-04-29,Smartphones,Xiaomi 14 Pro,1,380.0,649.0,0,649.0,380.0,269.0,41.45,54,Damaged,Nokia Solutions,Europe,"Miami, FL",Government,Retail Partner,80,44,29
ORD-00088,2023-08-09,2023-09-13,Smartphones,Galaxy S24,2,450.0,799.0,0,1598.0,900.0,698.0,43.68,35,On Time,Cobham Wireless,Europe,"Seattle, WA",Individual,Retail Partner,56,29,28
ORD-00089,2023-08-05,2023-08-24,Fiber Cables,ADSS Cable 1km,10,70.0,150.0,20,1200.0,700.0,500.0,41.67,19,On Time,Cisco Systems,North America,"Atlanta, GA",SME,Retail Partner,61,20,25
ORD-00090,2025-06-01,2025-06-18,Antennas,DAS Indoor Antenna,1,35.0,85.0,0,85.0,35.0,50.0,58.82,17,On Time,Qualcomm Supply,North America,"Miami, FL",Enterprise,Distributor,39,47,20
ORD-00091,2023-11-29,2023-12-26,Routers & Gateways,SD-WAN Appliance,5,400.0,850.0,0,4250.0,2000.0,2250.0,52.94,27,Delayed,Siemens Networks,Europe,"Dallas, TX",Individual,Direct Sales,45,33,13
ORD-00092,2025-03-08,2025-03-21,Network Equipment,Fiber Optic Terminal,5,600.0,1100.0,0,5500.0,3000.0,2500.0,45.45,13,On Time,Siemens Networks,Europe,"Miami, FL",SME,Retail Partner,58,36,26
ORD-00093,2023-09-20,2023-10-07,Network Equipment,Microwave Link,2,3200.0,5800.0,0,11600.0,6400.0,5200.0,44.83,17,On Time,Qualcomm Supply,North America,"Chicago, IL",Enterprise,Online Portal,389,44,30
ORD-00094,2023-06-04,2023-07-10,Smartphones,iPhone 16,200,550.0,999.0,0,199800.0,110000.0,89800.0,44.94,36,On Time,Cobham Wireless,Europe,"Seattle, WA",Government,Retail Partner,310,160,161
ORD-00095,2024-10-22,2024-11-09,Smartphones,Pixel 9 Pro,5,500.0,899.0,20,3596.0,2500.0,1096.0,30.48,18,On Time,Samsung Networks,Asia,"Miami, FL",Government,Direct Sales,405,43,11
ORD-00096,2025-04-10,2025-05-04,Fiber Cables,ADSS Cable 1km,10,70.0,150.0,20,1200.0,700.0,500.0,41.67,24,On Time,Qualcomm Supply,North America,"Atlanta, GA",Individual,Direct Sales,20,27,24
ORD-00097,2023-02-23,2023-04-26,Fiber Cables,ADSS Cable 1km,5,70.0,150.0,15,637.5,350.0,287.5,45.1,62,On Time,Alcatel-Lucent,Europe,"Denver, CO",Government,Value-Added Reseller,285,41,22
ORD-00098,2024-11-10,2024-11-25,SIM Cards,Prepaid SIM Kit,25,0.3,1.5,0,37.5,7.5,30.0,80.0,15,On Time,Qualcomm Supply,North America,"Miami, FL",Enterprise,Value-Added Reseller,335,42,22
ORD-00099,2024-06-04,2024-07-04,Network Equipment,Edge Router CR-5,10,2100.0,3800.0,25,28500.0,21000.0,7500.0,26.32,30,On Time,Siemens Networks,Europe,"Los Angeles, CA",Enterprise,Distributor,486,26,20
ORD-00100,2025-02-28,2025-04-15,Batteries & Power,Solar Panel 500W,1,400.0,720.0,0,720.0,400.0,320.0,44.44,46,On Time,Samsung Networks,Asia,"Newark, NJ",Enterprise,Value-Added Reseller,392,39,14
ORD-00101,2024-11-23,2024-12-20,Routers & Gateways,SD-WAN Appliance,1,400.0,850.0,25,637.5,400.0,237.5,37.25,27,On Time,Foxconn Telecom,Asia,"Atlanta, GA",Individual,Retail Partner,385,43,24
ORD-00102,2025-02-26,2025-03-22,Network Equipment,Edge Router CR-5,1,2100.0,3800.0,0,3800.0,2100.0,1700.0,44.74,24,On Time,Nokia Solutions,Europe,"Miami, FL",Individual,Distributor,214,50,15
ORD-00103,2025-05-21,2025-06-19,Batteries & Power,Tower Power Cabinet,25,1800.0,3200.0,15,68000.0,45000.0,23000.0,33.82,29,Delayed,Foxconn Telecom,Asia,"Miami, FL",Enterprise,Value-Added Reseller,230,48,26
ORD-00104,2024-02-10,2024-03-16,Network Equipment,Fiber Optic Terminal,1,600.0,1100.0,0,1100.0,600.0,500.0,45.45,35,On Time,Siemens Networks,Europe,"Atlanta, GA",Individual,Direct Sales,41,31,17
ORD-00105,2023-10-21,2023-12-08,Smartphones,Pixel 9 Pro,100,500.0,899.0,0,89900.0,50000.0,39900.0,44.38,48,Delayed,CommScope Inc,North America,"Los Angeles, CA",SME,Direct Sales,229,177,10
ORD-00106,2023-09-01,2023-09-24,Smartphones,Galaxy S24,2,450.0,799.0,0,1598.0,900.0,698.0,43.68,23,On Time,Corning Optical,North America,"Denver, CO",Enterprise,Retail Partner,214,40,29
ORD-00107,2023-10-26,2023-11-29,Fiber Cables,Single-Mode OS2 1km,1,55.0,120.0,0,120.0,55.0,65.0,54.17,34,On Time,Corning Optical,North America,"Atlanta, GA",SME,Online Portal,123,38,23
ORD-00108,2023-02-14,2023-03-28,Network Equipment,5G Small Cell,5,1200.0,2200.0,0,11000.0,6000.0,5000.0,45.45,42,On Time,Corning Optical,North America,"Atlanta, GA",Individual,Distributor,191,28,10
ORD-00109,2023-12-27,2024-02-06,SIM Cards,5G SIM eSIM,2,0.5,2.5,0,5.0,1.0,4.0,80.0,41,Delayed,Cisco Systems,North America,"Miami, FL",SME,Direct Sales,425,44,24
ORD-00110,2023-02-14,2023-03-17,Antennas,DAS Indoor Antenna,10,35.0,85.0,0,850.0,350.0,500.0,58.82,31,On Time,Foxconn Telecom,Asia,"Atlanta, GA",Government,Online Portal,417,37,25
ORD-00111,2024-03-23,2024-05-04,SIM Cards,5G SIM eSIM,25,0.5,2.5,15,53.12,12.5,40.62,76.47,42,On Time,ZTE Corp,Asia,"Newark, NJ",Enterprise,Retail Partner,95,35,25
ORD-00112,2023-04-16,2023-05-08,SIM Cards,Enterprise Multi-IMSI,2,2.0,8.0,20,12.8,4.0,8.8,68.75,22,On Time,Foxconn Telecom,Asia,"Los Angeles, CA",Government,Retail Partner,228,39,23
ORD-00113,2024-11-18,2024-12-30,Network Equipment,Fiber Optic Terminal,2,600.0,1100.0,15,1870.0,1200.0,670.0,35.83,42,On Time,Juniper Networks,North America,"Newark, NJ",Enterprise,Direct Sales,383,41,15
ORD-00114,2025-03-08,2025-04-27,Smartphones,iPhone 16,50,550.0,999.0,0,49950.0,27500.0,22450.0,44.94,50,On Time,Ericsson AB,Europe,"Los Angeles, CA",Enterprise,Online Portal,290,24,48
ORD-00115,2023-11-18,,Network Equipment,Fiber Optic Terminal,200,600.0,1100.0,0,220000.0,120000.0,100000.0,45.45,53,Cancelled,Honor Devices,Asia,"Los Angeles, CA",Government,Distributor,26,396,57
ORD-00116,2023-10-20,2023-12-01,Fiber Cables,ADSS Cable 1km,2,70.0,150.0,0,300.0,140.0,160.0,53.33,42,On Time,Siemens Networks,Europe,"Seattle, WA",SME,Value-Added Reseller,37,34,15
ORD-00117,2025-05-21,2025-06-27,Antennas,DAS Indoor Antenna,1000,35.0,85.0,0,85000.0,35000.0,50000.0,58.82,37,On Time,Siemens Networks,Europe,"Dallas, TX",Government,Retail Partner,918,268,215
ORD-00118,2023-05-13,2023-06-24,Batteries & Power,Tower Power Cabinet,1,1800.0,3200.0,0,3200.0,1800.0,1400.0,43.75,42,On Time,Cobham Wireless,Europe,"Miami, FL",Individual,Value-Added Reseller,203,42,25
ORD-00119,2024-04-22,2024-07-16,Routers & Gateways,SD-WAN Appliance,25,400.0,850.0,0,21250.0,10000.0,11250.0,52.94,85,Damaged,Huawei Tech,Asia,"Miami, FL",Enterprise,Distributor,282,40,28
ORD-00120,2023-06-15,,Network Equipment,Base Station BTS,2,8500.0,15000.0,0,30000.0,17000.0,13000.0,43.33,32,Cancelled,Samsung Networks,Asia,"Los Angeles, CA",Government,Online Portal,265,48,19
